id,n_images,image_sizes,n_image_tokens,n_prompt_tokens
validation_Accounting_1,1,1792x576,1008,1127
validation_Accounting_2,1,1056x960,990,1093
validation_Accounting_3,1,1440x736,1035,1115
validation_Accounting_4,1,2304x448,1008,1093
validation_Accounting_5,1,2400x448,1050,1196
validation_Accounting_6,1,2080x512,1040,1180
validation_Accounting_7,1,1984x512,992,1119
validation_Accounting_8,1,1792x576,1008,1144
validation_Accounting_9,1,1344x768,1008,1095
validation_Accounting_10,1,1472x704,1012,1145
validation_Accounting_11,1,2080x512,1040,1220
validation_Accounting_12,1,2112x480,990,1133
validation_Accounting_13,1,2016x512,1008,1098
validation_Accounting_14,1,2240x480,1050,1171
validation_Accounting_15,1,1216x832,988,1087
validation_Accounting_16,1,1536x672,1008,1140
validation_Accounting_17,1,1440x704,990,1113
validation_Accounting_18,1,2080x512,1040,1174
validation_Accounting_19,1,1792x576,1008,1131
validation_Accounting_20,1,2560x416,1040,1141
validation_Accounting_21,1,1504x672,987,1139
validation_Accounting_22,1,1568x672,1029,1127
validation_Accounting_23,1,2016x512,1008,1103
validation_Accounting_24,1,2080x512,1040,1195
validation_Accounting_25,1,2048x512,1024,1115
validation_Accounting_26,1,1120x928,1015,1201
validation_Accounting_27,1,1504x704,1034,1113
validation_Accounting_28,1,1504x672,987,1138
validation_Accounting_29,1,2112x512,1056,1150
validation_Accounting_30,1,1248x832,1014,1084
validation_Agriculture_1,1,2176x1824,3876,3934
validation_Agriculture_2,1,1344x864,1134,1230
validation_Agriculture_3,1,2048x1536,3072,3151
validation_Agriculture_4,1,1728x2304,3888,3965
validation_Agriculture_5,1,1248x832,1014,1088
validation_Agriculture_6,1,1184x896,1036,1107
validation_Agriculture_7,1,1184x896,1036,1146
validation_Agriculture_8,1,1728x2304,3888,3990
validation_Agriculture_9,1,1728x2304,3888,4012
validation_Agriculture_10,1,1184x896,1036,1115
validation_Agriculture_11,1,1632x2432,3876,3936
validation_Agriculture_12,1,1024x1024,1024,1101
validation_Agriculture_13,1,1728x2304,3888,4031
validation_Agriculture_14,1,2304x1728,3888,3970
validation_Agriculture_15,1,2432x1632,3876,3971
validation_Agriculture_16,1,1600x1216,1900,1977
validation_Agriculture_17,1,2048x1536,3072,3158
validation_Agriculture_18,1,2048x1536,3072,3153
validation_Agriculture_19,1,1600x1216,1900,2017
validation_Agriculture_20,1,2144x1824,3819,3919
